State,Bank account or service,Consumer loan,Credit card,Credit reporting,Debt collection,Money transfers,Mortgage,Other financial service,Payday loan,Prepaid card,Student loan,id,name
AK,52,11,76,86,102,4,113,0,1,1,13,2,Alaska       
AL,417,206,400,620,802,12,1025,3,48,2,100,1,Alabama      
AR,186,67,224,259,328,7,432,1,17,2,61,5,Arkansas     
AZ,920,287,1041,1032,1380,43,3328,1,40,14,190,4,Arizona      
CA,5953,1367,6426,6984,8130,303,25377,28,268,109,1105,6,California   
CO,681,197,941,885,1037,22,2446,2,42,12,198,8,Colorado     
CT,642,169,745,489,582,18,1761,1,11,3,170,9,Connecticut  
DE,285,110,327,229,310,8,683,0,14,1,45,10,Delaware    
FL,4107,1027,4066,4656,5490,166,15950,13,119,44,655,12,Florida      
GA,1722,572,1489,2104,2536,75,7327,3,74,24,385,13,Georgia     
HI,110,48,196,191,230,5,547,0,4,3,25,15,Hawaii      
IA,145,52,271,224,350,6,391,1,17,5,85,19,Iowa        
ID,116,35,177,166,275,7,427,0,13,0,37,16,Idaho       
IL,1792,395,1737,1823,2114,77,4581,7,73,19,523,17,Illinois    
IN,446,138,517,658,817,18,1256,3,36,5,210,18,Indiana     
KS,169,76,297,261,418,9,517,1,20,2,61,20,Kansas      
KY,302,120,312,394,582,6,783,2,18,2,101,21,Kentucky    
LA,351,145,336,623,799,20,1039,0,60,2,103,22,Louisiana   
MA,1344,189,1306,794,859,63,2761,6,26,20,402,25,Massachusett
MD,1424,432,1445,1370,1504,67,5469,0,59,15,362,24,Maryland    
ME,167,47,250,127,197,3,467,2,9,2,61,23,Maine       
MI,1122,349,1035,1101,1452,44,4767,3,63,15,385,26,Michigan    
MN,565,114,622,423,605,33,1811,3,22,8,184,27,Minnesota   
MO,429,213,576,620,995,29,1844,3,46,5,205,29,Missouri    
MS,167,108,197,289,344,5,494,1,23,0,44,28,Mississippi 
MT,51,18,92,92,143,3,188,0,4,2,33,30,Montana     
NC,1185,413,1294,1461,1395,53,4212,5,63,12,247,37,North Caroli
ND,24,14,38,74,81,0,66,0,0,1,11,38,North Dakota
NE,152,49,191,108,245,10,366,0,12,2,60,31,Nebraska    
NH,212,42,246,201,203,4,1114,1,15,2,85,33,New Hampshir
NJ,2192,532,2106,1567,2074,67,6257,6,90,29,485,34,New Jersey  
NM,198,64,226,337,369,14,551,1,23,4,49,35,New Mexico  
NV,497,123,520,669,843,24,1529,0,47,9,91,32,Nevada      
NY,3938,699,4467,3486,3571,169,8370,19,54,31,1024,36,New York    
OH,1424,532,1710,1308,2113,72,3939,4,120,24,522,39,Ohio        
OK,204,110,314,394,626,19,643,1,36,3,77,40,Oklahoma    
OR,506,111,536,572,808,19,1706,2,22,10,141,41,Oregon      
PA,1970,498,1789,1823,2150,74,4391,7,95,23,707,42,Pennsylvania
RI,250,56,191,183,208,7,395,0,31,1,44,44,Rhode Island
SC,423,220,480,781,984,19,1461,2,38,3,122,45,South Caroli
SD,49,21,107,54,134,2,131,0,4,1,21,46,South Dakota
TN,611,259,699,761,1184,25,1691,5,63,11,175,47,Tennessee   
TX,2496,1038,2970,7307,5912,150,6608,16,270,47,552,48,Texas       
UT,158,54,252,278,442,8,752,1,12,2,47,49,Utah        
VA,1236,461,1648,2062,1885,70,4357,4,80,22,345,51,Virginia    
VT,91,30,101,71,81,4,253,0,1,1,42,50,Vermont     
WA,771,171,935,943,1314,50,3214,6,23,13,226,53,Washington  
WI,408,172,729,479,746,32,1515,2,48,7,156,55,Wisconsin   
WY,25,12,43,80,84,1,120,0,5,0,20,54,West Virgini
WY,25,12,43,80,84,1,120,0,5,0,20,56,Wyoming     
